Term,Course Code,Course Number,Section Number,Title,Instructor,A,A-,B+,B,B-,C+,C,C-,D+,D,F,I,W,AU,CR,NC,X,NR,IP,Total,GPA
Fall 2011,AAA,200,1,Understanding Africa,"Mupepi, Governor Mamb",26,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,3.93
Fall 2011,AAA,201,1,Intro African American Studies,"Flemming, Tracy K",7,6,6,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,24,3.5
Fall 2011,AAA,201,2,Intro African American Studies,"Flemming, Tracy K",7,3,7,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23,3.39
Fall 2011,AAA,231,1,SWS Early African American Lit,"Johnson, Sherry R",1,4,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,3.37
Fall 2011,AAA,315,1,Field to Factory,"Stevenson, Robert L",7,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,3.51
Fall 2011,AAA,351,1,Perspectves Afr Amer Male,"Stevenson, Robert L",5,7,8,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,3.35
Fall 2011,AAA,352,1,Black Women's Culture,"Tucker, Veta S",5,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,3.22
Fall 2011,AAA,380,1,Hip-Hop Theory & Culture,"Arnold, Damon F",8,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.66
Fall 2011,ACC,212,1,Prin of Financial Acct,"Danko, Dorothy J",9,2,3,6,5,2,2,0,0,1,5,0,4,0,0,0,0,0,0,39,2.7
Fall 2011,ACC,212,2,Prin of Financial Acct,"Schuiling, Penny Lynn",1,1,2,0,2,2,1,1,0,4,5,0,4,0,0,0,0,0,0,23,1.68
Fall 2011,ACC,212,3,Prin of Financial Acct,"Brouse, Joanne M",2,1,2,4,5,5,10,3,2,2,2,0,2,0,0,0,0,0,0,40,2.24
Fall 2011,ACC,212,4,Prin of Financial Acct,"Danko, Dorothy J",1,3,4,6,4,4,6,1,2,4,1,0,3,0,0,0,0,0,0,39,2.41
Fall 2011,ACC,212,5,Prin of Financial Acct,"Danko, Dorothy J",8,0,4,8,6,4,5,2,0,0,1,0,2,0,0,0,0,0,0,40,2.84
Fall 2011,ACC,212,6,Prin of Financial Acct,"Brouse, Joanne M",1,2,2,2,5,7,8,5,4,0,3,0,0,0,0,0,0,0,0,39,2.14
Fall 2011,ACC,212,7,Prin of Financial Acct,"Stovall, Dennis C",6,5,4,4,7,4,4,1,5,0,0,0,0,0,0,0,0,0,0,40,2.8
Fall 2011,ACC,212,8,Prin of Financial Acct,"Lindquist, Stanton C",6,2,5,5,2,5,12,0,0,1,0,0,2,0,0,0,0,0,0,40,2.76
Fall 2011,ACC,212,9,Prin of Financial Acct,"Sheneman, Amy G",0,4,8,4,5,1,5,3,3,4,1,0,1,0,0,0,0,0,0,39,2.42
Fall 2011,ACC,212,10,Prin of Financial Acct,"Stovall, Dennis C",4,7,1,6,3,5,6,3,2,0,1,0,2,0,0,0,0,0,0,40,2.7
Fall 2011,ACC,212,11,Prin of Financial Acct,"Stovall, Dennis C",2,4,6,11,6,3,2,0,3,1,1,0,1,0,0,0,0,0,0,40,2.76
Fall 2011,ACC,212,12,Prin of Financial Acct,"Schuiling, Penny Lynn",3,4,7,7,0,3,1,3,2,0,0,0,4,0,0,0,0,0,0,34,2.92
Fall 2011,ACC,212,13,Prin of Financial Acct,"Harper, Christopher J",4,1,0,1,1,2,2,0,0,0,3,0,3,0,0,0,0,0,0,17,2.43
Fall 2011,ACC,212,14,Prin of Financial Acct,"Lindquist, Stanton C",4,6,3,6,3,2,12,0,0,0,2,0,2,0,0,0,0,0,0,40,2.71
Fall 2011,ACC,212,15,Prin of Financial Acct,"Centers, David P",4,5,4,10,3,4,5,0,1,2,1,0,1,0,0,0,0,0,0,40,2.78
Fall 2011,ACC,212,16,Prin of Financial Acct,"Sheneman, Amy G",3,3,3,6,2,2,11,1,5,2,1,0,1,0,0,0,0,0,0,40,2.39
Fall 2011,ACC,212,18,Prin of Financial Acct,"Centers, David P",3,6,6,5,4,4,4,1,2,2,2,0,1,0,0,0,0,0,0,40,2.65
Fall 2011,ACC,212,19,Prin of Financial Acct,"Popma, Thomas A",8,2,10,10,5,1,0,1,0,0,0,0,2,0,0,0,0,0,0,39,3.24
Fall 2011,ACC,212,20,Prin of Financial Acct,"Centers, David P",3,4,7,6,4,3,6,1,1,0,3,0,2,0,0,0,0,0,0,40,2.65
Fall 2011,ACC,212,21,Prin of Financial Acct,"Sheneman, Amy G",2,2,4,5,6,2,4,1,5,4,2,0,3,0,0,0,0,0,0,40,2.29
Fall 2011,ACC,212,22,Prin of Financial Acct,"Schuiling, Penny Lynn",5,3,2,3,3,1,3,2,2,3,5,0,6,0,0,0,0,0,0,38,2.25
Fall 2011,ACC,212,23,Prin of Financial Acct,"Sheneman, Amy G",2,3,2,2,1,4,3,2,5,2,2,0,9,0,0,0,0,0,0,37,2.2
Fall 2011,ACC,212,24,Prin of Financial Acct,"Centers, David P",2,6,4,4,2,2,7,1,0,1,3,0,6,0,0,0,0,0,0,38,2.57
Fall 2011,ACC,213,1,Prin of Managerial Acct,"Schuiling, Penny Lynn",3,1,2,9,6,0,3,1,4,1,0,0,3,0,0,0,0,0,0,33,2.65
Fall 2011,ACC,213,2,Prin of Managerial Acct,"Drogt, Emily L",4,1,5,5,4,5,3,3,2,3,1,0,4,0,0,0,0,0,0,40,2.51
Fall 2011,ACC,213,3,Prin of Managerial Acct,"Drogt, Emily L",4,4,1,6,3,5,5,3,2,1,4,0,2,0,0,0,0,0,0,40,2.38
Fall 2011,ACC,213,4,Prin of Managerial Acct,"Bettinghaus, Bruce A",6,2,3,5,4,8,0,0,3,0,5,0,3,0,0,0,0,0,0,39,2.48
Fall 2011,ACC,213,5,Prin of Managerial Acct,"Bettinghaus, Bruce A",4,3,6,1,5,7,4,2,5,0,2,0,0,0,0,0,0,0,0,39,2.5
Fall 2011,ACC,213,6,Prin of Managerial Acct,"Ratliff-Miller, Paule",3,2,5,5,3,4,5,1,3,2,1,0,2,0,0,0,0,0,0,36,2.52
Fall 2011,ACC,213,7,Prin of Managerial Acct,"Radgens, James A",1,4,5,7,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,30,2.87
Fall 2011,ACC,213,8,Prin of Managerial Acct,"Sergeant, Anne M",1,1,4,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,2.95
Fall 2011,ACC,213,9,Prin of Managerial Acct,"Drogt, Emily L",5,1,4,5,0,2,2,1,2,1,3,0,3,0,0,0,0,0,0,29,2.53
Fall 2011,ACC,240,1,Financial Acct Applications,"Grant, Rita",6,3,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,15,3.39
Fall 2011,ACC,240,3,Financial Acct Applications,"Grant, Rita",12,2,2,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,23,3.43
Fall 2011,ACC,240,4,Financial Acct Applications,"Grant, Rita",20,4,3,5,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,39,3.7
Fall 2011,ACC,240,5,Financial Acct Applications,"Grant, Rita",17,2,6,3,2,0,0,0,0,0,1,0,7,0,0,0,0,0,0,38,3.54
Fall 2011,ACC,308,1,Govt & NonProfit Acctng,"Danko, Dorothy J",2,6,3,8,8,1,0,0,0,0,0,0,4,0,0,0,0,0,0,32,3.14
Fall 2011,ACC,310,1,Intermediate Accounting I,"Grant, Rita",1,4,8,2,2,5,6,4,0,1,2,0,2,0,0,0,0,0,0,37,2.51
Fall 2011,ACC,310,2,Intermediate Accounting I,"Drogt, Emily L",10,6,1,8,1,5,1,2,2,1,1,0,2,0,0,0,0,0,0,40,2.97
Fall 2011,ACC,310,3,Intermediate Accounting I,"de la Rosa, Denise",4,5,5,8,4,3,3,0,0,0,1,1,6,0,0,0,0,0,0,40,2.99
Fall 2011,ACC,310,4,Intermediate Accounting I,"Stovall, Dennis C",4,14,8,7,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,40,3.32
Fall 2011,ACC,311,1,Intermediate Accounting II,"de la Rosa, Denise",0,2,5,8,4,4,2,0,0,1,0,0,2,0,0,0,0,0,0,28,2.8
Fall 2011,ACC,311,2,Intermediate Accounting II,"DeBruine, Marinus",3,4,1,4,6,1,0,1,0,0,0,0,3,0,0,0,0,0,0,23,3.12
Fall 2011,ACC,311,3,Intermediate Accounting II,"de la Rosa, Denise",4,1,1,5,7,5,2,1,1,0,2,0,5,0,0,0,0,0,0,34,2.6
Fall 2011,ACC,317,1,Individual Income Taxation,"Yuhas, Michael A",2,6,6,9,5,5,2,1,0,0,2,0,1,0,0,0,0,0,0,39,2.83
Fall 2011,ACC,317,2,Individual Income Taxation,"Yuhas, Michael A",2,3,11,4,9,4,2,1,0,0,1,0,1,0,0,0,0,0,0,38,2.88
Fall 2011,ACC,317,3,Individual Income Taxation,"Kessler, Lara L",4,2,4,10,5,3,5,1,0,1,1,0,3,0,0,0,0,0,0,39,2.77
Fall 2011,ACC,318,1,Entity Taxation,"Karhoff, Brett M",6,3,0,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,17,3.28
Fall 2011,ACC,321,1,Cost Strategy & Decisions,"Sopariwala, Parvez R",6,5,4,11,1,2,1,1,2,0,2,0,3,0,0,0,0,0,0,38,2.92
Fall 2011,ACC,321,2,Cost Strategy & Decisions,"Sopariwala, Parvez R",4,4,3,5,2,2,4,4,0,2,3,0,7,0,0,0,0,0,0,40,2.5
Fall 2011,ACC,321,3,Cost Strategy & Decisions,"Sergeant, Anne M",1,1,4,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,13,2.88
Fall 2011,ACC,321,4,Cost Strategy & Decisions,"Sergeant, Anne M",1,12,2,7,2,6,2,0,2,0,0,0,6,0,0,0,0,0,0,40,2.99
Fall 2011,ACC,340,1,Accounting Systems,"Dunn, Cheryl L",2,5,8,7,6,6,3,0,0,0,0,0,1,0,0,0,0,0,0,38,2.97
Fall 2011,ACC,340,2,Accounting Systems,"Dunn, Cheryl L",3,3,8,5,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,30,3.02
Fall 2011,ACC,340,3,Accounting Systems,"Dunn, Cheryl L",2,3,1,4,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,16,3.11
Fall 2011,ACC,413,1,Internal Auditing,"Cannon, David M",3,12,13,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,3.35
Fall 2011,ACC,413,2,Internal Auditing,"Cannon, David M",9,12,11,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40,3.54
Fall 2011,ACC,414,1,Auditing Theory and Practice,"Lindquist, Stanton C",9,7,5,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,3.39
Fall 2011,ACC,511,1,Fin/Mgr Acctng Concepts,"Harper, Christopher J",10,3,1,1,2,1,3,0,0,0,1,0,2,0,0,0,0,0,0,24,3.23
Fall 2011,ACC,607,1,Ethics for Accountants,"Goldberg, Stephen R",11,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,3.54
Fall 2011,ACC,607,2,Ethics for Accountants,"Goldberg, Stephen R",11,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3.76
Fall 2011,ACC,611,1,Contemporary Mgrl Acctg,"Ratliff-Miller, Paule",3,4,3,5,3,4,2,0,0,0,1,0,1,0,0,0,0,0,0,26,2.92
Fall 2011,ACC,612,1,Acct Legal Environment,"Kessler, Lara L",2,1,8,7,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,29,3.02
Fall 2011,ACC,612,2,Acct Legal Environment,"Kessler, Lara L",1,2,4,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,21,3
Fall 2011,ACC,613,1,Financial Statement Analysis,"DeBruine, Marinus",8,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,3.72
Fall 2011,ACC,613,2,Financial Statement Analysis,"DeBruine, Marinus",9,16,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3.67
Fall 2011,ACC,615,1,Entity Taxation,"Smith, Kristin Eric",14,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,25,3.48
Fall 2011,ACC,616,1,Financial Accounting Systems,"Cannon, David M",5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.61
Fall 2011,ACC,620,1,Accounting Theory,"Bettinghaus, Bruce A",5,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.47
Fall 2011,ACC,621,1,Advanced Cost Management,"Sopariwala, Parvez R",5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.7
Fall 2011,ACC,624,1,Corporate Tax I,"Harris, Richard W",5,3,6,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,3.3
Fall 2011,ACC,627,1,"Estate, Gift, and Trust I","Yuhas, Michael A",1,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3.32
Fall 2011,ACC,629,1,Partnership Taxation,"Harris, Richard W",6,1,2,9,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,3.25
Fall 2011,ACC,636,1,Taxation Problems,"Butler, Steven R",1,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,3.45
Fall 2011,AHS,100,1,Medical Terminology,"Brew, Ranelle L",2,14,13,7,5,4,6,1,1,3,2,0,2,0,0,0,0,0,0,60,2.83
Fall 2011,AHS,100,2,Medical Terminology,"Martinez, Manuel",13,10,12,5,7,4,3,3,0,0,0,0,3,0,0,0,0,0,0,60,3.21
Fall 2011,AHS,100,3,Medical Terminology,"Wallsteadt, Russell D",8,10,8,13,5,3,4,2,2,1,2,0,2,0,0,0,0,0,0,60,2.93
Fall 2011,AHS,100,4,Medical Terminology,"Allen, Patricia L",8,10,10,9,6,4,4,0,3,4,2,0,0,0,0,0,0,0,0,60,2.84
Fall 2011,AHS,100,5,Medical Terminology,"Allen, Patricia L",3,9,12,11,4,3,7,2,2,1,3,0,2,0,1,0,0,0,0,60,2.75
Fall 2011,AHS,100,6,Medical Terminology,"Gunnink, Susan L",24,10,11,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,54,3.51
Fall 2011,AHS,110,1,Introduction to Health Care,"Davis, Alisha L",10,15,11,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,49,3.48
Fall 2011,AHS,110,2,Introduction to Health Care,"Davis, Alisha L",20,14,9,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,48,3.62
Fall 2011,AHS,110,3,Introduction to Health Care,"Silbar, Jean Claire",29,7,0,2,3,0,2,0,0,0,2,0,3,0,0,0,0,0,0,48,3.56
Fall 2011,AHS,110,4,Introduction to Health Care,"Allen, Patricia L",31,5,3,2,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,47,3.55
Fall 2011,AHS,110,5,Introduction to Health Care,"Martin, Elaine K",28,7,7,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,48,3.67
Fall 2011,AHS,110,6,Introduction to Health Care,"Bennett, Jolene L",4,6,12,11,5,3,2,1,0,0,0,0,3,0,0,0,0,0,0,47,3.11
